Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
40,3,10,2,deviation,5.,0.00156775,0.000725137,0.280818,0.00139053,11.082,04:31
50,5,13,0,deviation,5.,0.00155358,0.000757545,0.316028,0.0015291,18.8436,06:57
50,5,13,1,deviation,5.,0.00155358,0.000757545,0.316028,0.0015291,18.8436,06:59
40,5,10,3,deviation,5.,0.00154547,0.000704882,0.261266,0.00143717,11.0038,03:45
30,3,8,2,none,0.001,0.00154142,0.000925663,0.107932,0.00226443,2.13976,03:01
40,0,10,1,deviation,5.,0.0015394,0.000715009,0.28571,0.0013911,18.2372,05:20
40,0,10,0,deviation,5.,0.0015394,0.000715009,0.28571,0.0013911,18.2372,05:39
50,5,13,3,absolute,0.1,0.00153129,0.000798055,0.320794,0.00172037,16.4766,06:59
50,3,13,1,deviation,0.1,0.00152724,0.000945919,0.0221329,0.00392126,2.05023,00:48
50,0,13,1,deviation,0.1,0.00152724,0.000945919,0.0220519,0.00392103,6.86287,01:19
50,5,13,0,deviation,0.1,0.00152724,0.000945919,0.0220883,0.00392126,3.25339,00:58
50,5,13,1,deviation,0.1,0.00152724,0.000945919,0.0220883,0.00392126,3.25339,00:58
50,0,13,0,deviation,0.1,0.00152724,0.000945919,0.0220519,0.00392103,6.86287,01:22
50,3,13,0,deviation,0.1,0.00152724,0.000945919,0.0221329,0.00392126,2.05023,00:49
50,5,38,3,absolute,0.001,0.00152522,0.000842617,0.217731,0.00170597,2.60907,02:19
50,0,38,3,absolute,0.001,0.00152522,0.000842617,0.217735,0.00170595,2.60928,02:18
50,0,13,3,absolute,0.1,0.00152319,0.000794004,0.320857,0.00171715,16.542,06:24
50,3,38,3,absolute,0.001,0.00152117,0.000840591,0.217482,0.00170599,2.5949,02:14
40,3,20,3,deviation,0.1,0.00151509,0.000806158,0.00381811,0.00990865,0.0585376,00:12
50,3,13,2,deviation,5.,0.00151509,0.000710958,0.312662,0.00148782,15.6451,05:37
40,5,20,3,deviation,0.1,0.00151509,0.000806158,0.00381811,0.00990865,0.0585376,00:11
50,0,25,2,deviation,0.1,0.00151104,0.000927689,0.0172514,0.00290224,0.597731,00:44
50,3,25,2,deviation,0.1,0.00151104,0.000927689,0.0172473,0.00290232,0.581527,00:48
50,5,25,2,deviation,0.1,0.00151104,0.000927689,0.0172493,0.00290232,0.585578,00:48
50,5,13,2,absolute,0.1,0.00150699,0.000781851,0.32586,0.00170282,18.0008,07:13
40,5,10,2,deviation,5.,0.00150496,0.000690703,0.282591,0.00133927,13.3729,04:40
50,0,13,2,absolute,0.1,0.00149889,0.000779826,0.325906,0.00169966,18.0711,06:44
50,0,13,1,deviation,5.,0.00149078,0.000723111,0.316364,0.00147025,26.3413,07:30
50,0,13,0,deviation,5.,0.00149078,0.000723111,0.316364,0.00147025,26.3413,08:12
40,0,10,3,deviation,5.,0.00148673,0.000680575,0.26114,0.00138447,14.5617,04:33
50,5,13,2,deviation,5.,0.00146243,0.000692728,0.314871,0.00144067,18.4197,06:58
40,3,10,2,absolute,0.1,0.00144825,0.000725137,0.292552,0.00153862,11.6933,04:28
40,5,10,2,absolute,0.1,0.0014442,0.000733239,0.299368,0.0015455,12.6269,05:03
40,0,10,2,absolute,0.1,0.0014442,0.000733239,0.299441,0.00154458,12.638,04:35
50,3,38,2,absolute,0.001,0.00144015,0.000741341,0.232822,0.00159815,2.89548,02:39
50,3,13,3,deviation,0.1,0.00143204,0.000802107,0.00502532,0.00439065,1.65647,00:37
50,0,13,3,deviation,0.1,0.00143204,0.000802107,0.00497266,0.00439022,5.93437,01:07
50,5,13,3,deviation,0.1,0.00143204,0.000802107,0.00499899,0.00439057,2.72595,00:45
50,5,38,2,absolute,0.001,0.00143002,0.000729188,0.232858,0.00159683,2.91148,02:36
50,0,38,2,absolute,0.001,0.00143002,0.000729188,0.232862,0.00159682,2.91189,02:39
50,5,25,3,deviation,0.01,0.00143002,0.000956046,0.000386875,0.0597066,0.0190399,00:11
50,0,25,3,deviation,0.01,0.00143002,0.000956046,0.000386875,0.0597066,0.031193,00:12
50,3,25,3,deviation,0.01,0.00143002,0.000956046,0.000386875,0.0597066,0.0149889,00:11
40,3,10,3,none,0.1,0.00142394,0.000739315,0.263944,0.00151731,6.95037,04:59
40,0,10,2,deviation,5.,0.00142192,0.000656269,0.282052,0.00128548,17.8748,05:36
50,0,38,3,none,0.001,0.00141787,0.0007778,0.222728,0.00156442,2.87523,02:56
50,5,38,3,none,0.001,0.00141787,0.000779826,0.222617,0.00156521,2.79664,02:32
40,0,30,3,deviation,0.01,0.00141584,0.000818311,0.0010634,0.0398736,0.0151914,00:10
40,5,30,3,deviation,0.01,0.00141584,0.000818311,0.0010634,0.0398736,0.0151914,00:11
40,3,30,3,deviation,0.01,0.00141584,0.000818311,0.0010634,0.0398736,0.0151914,00:10
30,3,23,3,deviation,0.1,0.00141179,0.000710958,0.0181912,0.00413612,0.161232,00:15
30,5,23,3,deviation,0.1,0.00141179,0.000710958,0.0181912,0.00413612,0.161232,00:13
30,0,23,3,deviation,0.1,0.00141179,0.000710958,0.0181912,0.00413612,0.161232,00:14
50,0,13,2,deviation,5.,0.00139558,0.00066032,0.315317,0.00138107,25.8416,08:22
40,3,10,3,absolute,0.1,0.00139558,0.00070083,0.281977,0.00147183,10.0296,04:11
50,3,38,3,none,0.001,0.00138951,0.000753494,0.212435,0.00148078,2.45149,02:06
40,0,10,3,absolute,0.1,0.00138748,0.000704882,0.289022,0.00149286,10.8128,04:04
40,5,10,3,absolute,0.1,0.00138748,0.000706907,0.28901,0.00149361,10.8039,04:35
50,3,25,3,none,0.1,0.00137735,0.000767673,0.351167,0.00143668,15.7395,08:40
40,0,20,3,deviation,0.1,0.0013571,0.000704882,0.00381811,0.00793854,0.0585376,00:11
40,5,10,2,none,0.01,0.00134697,0.000684626,0.176472,0.00133583,5.9605,03:57
50,3,13,3,none,0.1,0.00133684,0.00071906,0.304602,0.0014834,9.27669,07:11
40,3,30,3,none,0.001,0.00133482,0.000812234,0.229573,0.00183837,2.72595,02:32
30,3,8,3,none,0.001,0.00131051,0.000731213,0.0862224,0.00236911,1.13794,01:07
40,0,10,2,none,0.01,0.00129431,0.000656269,0.175297,0.0012743,11.4879,04:34
50,3,38,3,deviation,0.01,0.00128621,0.000767673,0.00104112,0.0242614,0.0457768,00:10
50,5,38,3,deviation,0.01,0.00128621,0.000767673,0.00104112,0.0242614,0.061981,00:10
50,0,38,3,deviation,0.01,0.00128621,0.000767673,0.00104112,0.0242614,0.110593,00:10
50,3,25,3,deviation,5.,0.00128216,0.000621835,0.350577,0.00137598,20.7683,07:51
30,5,8,3,none,0.01,0.00128013,0.000650192,0.161782,0.00166041,3.53109,02:17
30,0,8,3,none,0.01,0.00127203,0.000646141,0.161633,0.0016461,5.17257,02:36
30,3,8,3,none,0.01,0.00127203,0.000674499,0.146632,0.001647,2.07312,02:07
50,5,25,3,deviation,5.,0.00126595,0.000613733,0.352965,0.00135379,21.493,07:34
50,0,25,3,deviation,5.,0.0012619,0.000609682,0.353249,0.00134889,21.5364,07:31
40,3,20,0,deviation,0.1,0.00125177,0.000680575,0.0298481,0.00329861,0.409966,00:37
40,5,20,0,deviation,0.1,0.00125177,0.000680575,0.0298481,0.00329861,0.409966,00:32
40,5,20,1,deviation,0.1,0.00125177,0.000680575,0.0298481,0.00329861,0.409966,00:32
40,3,20,1,deviation,0.1,0.00125177,0.000680575,0.0298481,0.00329861,0.409966,00:35
40,5,10,1,deviation,0.1,0.00124975,0.000725137,0.0228884,0.00336682,3.17136,00:53
40,3,10,1,deviation,0.1,0.00124975,0.000725137,0.022933,0.00336684,1.96739,00:42
40,0,10,1,deviation,0.1,0.00124975,0.000725137,0.0228459,0.00336656,5.5793,01:06
40,0,10,0,deviation,0.1,0.00124975,0.000725137,0.0228459,0.00336656,5.5793,01:08
40,3,10,0,deviation,0.1,0.00124975,0.000725137,0.022933,0.00336684,1.96739,00:46
40,5,10,0,deviation,0.1,0.00124975,0.000725137,0.0228884,0.00336682,3.17136,00:49
40,5,20,2,none,0.001,0.00123759,0.000680575,0.181394,0.00151087,3.30322,03:58
30,3,15,3,deviation,0.1,0.00123152,0.000783877,0.00407737,0.0142443,0.0538789,00:11
30,0,15,3,deviation,0.1,0.00123152,0.000783877,0.00407737,0.0142443,0.0538789,00:11
30,5,15,3,deviation,0.1,0.00123152,0.000783877,0.00407737,0.0142443,0.0538789,00:11
40,0,20,2,none,0.001,0.00123152,0.00067855,0.1814,0.00150701,3.30423,03:55
50,3,25,0,deviation,5.,0.00122139,0.00058335,0.337213,0.00118881,25.2475,11:09
50,3,25,1,deviation,5.,0.00122139,0.00058335,0.337213,0.00118881,25.2475,12:09
50,5,25,1,deviation,5.,0.00121936,0.000579299,0.339127,0.00118018,26.0057,11:14
50,5,25,0,deviation,5.,0.00121936,0.000579299,0.339127,0.00118018,26.0057,12:11
50,0,25,0,deviation,5.,0.00121531,0.000575248,0.339419,0.00117569,26.0496,12:25
50,0,25,1,deviation,5.,0.00121531,0.000575248,0.339419,0.00117569,26.0496,12:30
50,0,13,2,deviation,0.1,0.00121531,0.000690703,0.020956,0.00296311,6.84444,01:21
