Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Median_Hits_Top_Score,Average_Hits,Self_Matches,Unique_Self_Matches,Mean_F1_Score,Mean_Precision,Mean_Liberal_F1_Score,Mean_Liberal_Precision,Mean_Sharpness,DB_Size_MB,Runtime_find-matches,Runtime_create-db
30,0,15,0,deviation,0.01,1,1.06,203,195,0.000569511,0.000285174,0.00135109,0.000677975,0.985692,46.56,06:44,1:25:45
30,0,15,0,deviation,0.001,1,1.06,203,195,0.000569511,0.000285174,0.00135109,0.000677975,0.985692,46.56,06:56,1:23:33
50,3,25,0,deviation,0.01,1,1.06,203,195,0.000565899,0.000283358,0.00141281,0.000708986,0.993007,100.43,08:38,1:21:43
50,3,25,0,deviation,0.001,1,1.06,203,195,0.000565899,0.000283358,0.00141281,0.000708986,0.993007,100.43,09:40,1:21:17
50,3,25,1,deviation,0.01,1,1.06,203,195,0.000565899,0.000283358,0.00141281,0.000708986,0.993007,100.43,08:36,1:22:51
50,3,25,1,deviation,0.001,1,1.06,203,195,0.000565899,0.000283358,0.00141281,0.000708986,0.993007,100.43,09:17,1:21:23
50,3,25,2,deviation,0.01,1,1.06,203,195,0.000565522,0.00028317,0.00141498,0.000710082,0.992424,97.68,10:14,1:20:53
50,3,25,2,deviation,0.001,1,1.06,203,195,0.000565522,0.00028317,0.00141498,0.000710082,0.992424,97.68,09:35,1:20:49
50,5,25,1,deviation,0.01,1,1.06,203,195,0.000565068,0.000282942,0.00141601,0.000710586,0.993063,102.36,08:23,1:22:10
50,5,25,1,deviation,0.001,1,1.06,203,195,0.000565068,0.000282942,0.00141601,0.000710586,0.993063,102.36,09:26,1:21:52
50,5,25,0,deviation,0.01,1,1.06,203,195,0.000565068,0.000282942,0.00141601,0.000710586,0.993063,102.36,08:21,1:22:23
50,5,25,0,deviation,0.001,1,1.06,203,195,0.000565068,0.000282942,0.00141601,0.000710586,0.993063,102.36,08:22,1:22:41
50,5,25,2,deviation,0.01,1,1.06,203,195,0.000565002,0.000282909,0.00142112,0.000713171,0.992536,99.58,08:40,1:23:04
50,5,25,2,deviation,0.001,1,1.06,203,195,0.000565002,0.000282909,0.00142112,0.000713171,0.992536,99.58,09:49,1:21:12
50,0,25,0,deviation,0.01,1,1.06,203,195,0.000564287,0.00028255,0.00140531,0.00070514,0.993044,103.17,08:52,1:23:34
50,0,25,0,deviation,0.001,1,1.06,203,195,0.000564287,0.00028255,0.00140531,0.00070514,0.993044,103.17,08:41,1:22:13
50,0,25,1,deviation,0.001,1,1.06,203,195,0.000564287,0.00028255,0.00140531,0.00070514,0.993044,103.17,08:29,1:23:32
50,0,25,1,deviation,0.01,1,1.06,203,195,0.000564287,0.00028255,0.00140531,0.00070514,0.993044,103.17,08:46,1:22:52
50,0,25,2,deviation,0.001,1,1.06,203,195,0.000564143,0.000282478,0.00140977,0.000707393,0.992517,100.36,09:21,1:22:05
50,0,25,2,deviation,0.01,1,1.06,203,195,0.000564143,0.000282478,0.00140977,0.000707393,0.992517,100.36,08:54,1:22:48
30,3,23,3,deviation,0.001,1,1.06,203,195,0.000550794,0.000275783,0.00166486,0.000835629,0.992697,86.98,12:13,1:54:14
30,3,23,3,deviation,0.01,1,1.06,203,195,0.000550794,0.000275783,0.00166486,0.000835629,0.992697,86.98,12:46,1:53:30
30,5,23,3,deviation,0.001,1,1.06,203,195,0.000550767,0.000275769,0.00166397,0.000835182,0.992637,87.49,11:49,1:53:06
30,5,23,3,deviation,0.01,1,1.06,203,195,0.000550767,0.000275769,0.00166397,0.000835182,0.992637,87.49,11:28,1:54:14
30,0,23,3,deviation,0.01,1,1.06,203,195,0.000550674,0.000275723,0.0016634,0.000834894,0.992637,87.71,13:10,1:53:55
30,0,23,3,deviation,0.001,1,1.06,203,195,0.000550674,0.000275723,0.0016634,0.000834894,0.992637,87.71,13:10,1:56:53
30,3,23,2,deviation,0.01,1,1.06,203,195,0.000547946,0.000274355,0.00167784,0.00084245,0.991744,101.02,13:27,1:56:20
30,3,23,2,deviation,0.001,1,1.06,203,195,0.000547946,0.000274355,0.00167784,0.00084245,0.991744,101.02,14:33,1:59:20
30,5,23,2,deviation,0.001,1,1.06,203,195,0.000547946,0.000274355,0.00167727,0.000842165,0.991689,101.64,13:16,1:55:59
30,5,23,2,deviation,0.01,1,1.06,203,195,0.000547946,0.000274355,0.00167727,0.000842165,0.991689,101.64,12:50,1:55:13
30,0,23,2,deviation,0.001,1,1.06,203,195,0.00054788,0.000274322,0.00167688,0.000841969,0.991689,101.92,14:10,1:58:17
30,0,23,2,deviation,0.01,1,1.06,203,195,0.00054788,0.000274322,0.00167688,0.000841969,0.991689,101.92,14:54,1:56:09
30,3,23,1,deviation,0.01,1,1.06,203,195,0.000547818,0.000274291,0.00165478,0.000830839,0.991969,103.66,13:45,1:55:16
30,3,23,1,deviation,0.001,1,1.06,203,195,0.000547818,0.000274291,0.00165478,0.000830839,0.991969,103.66,13:52,1:56:50
30,3,23,0,deviation,0.01,1,1.06,203,195,0.000547818,0.000274291,0.00165478,0.000830839,0.991969,103.66,13:14,1:57:23
30,3,23,0,deviation,0.001,1,1.06,203,195,0.000547818,0.000274291,0.00165478,0.000830839,0.991969,103.66,13:49,1:55:17
30,5,23,0,deviation,0.001,1,1.06,203,195,0.000547818,0.000274291,0.00165418,0.000830537,0.99192,104.31,13:17,1:55:27
30,5,23,0,deviation,0.01,1,1.06,203,195,0.000547818,0.000274291,0.00165418,0.000830537,0.99192,104.31,12:48,1:56:00
30,5,23,1,deviation,0.001,1,1.06,203,195,0.000547818,0.000274291,0.00165418,0.000830537,0.99192,104.31,13:31,1:56:42
30,5,23,1,deviation,0.01,1,1.06,203,195,0.000547818,0.000274291,0.00165418,0.000830537,0.99192,104.31,13:04,1:57:04
30,0,23,1,deviation,0.01,1,1.06,203,195,0.000547755,0.000274259,0.00165382,0.000830357,0.99192,104.60,14:41,1:57:03
30,0,23,1,deviation,0.001,1,1.06,203,195,0.000547755,0.000274259,0.00165382,0.000830357,0.99192,104.60,14:31,1:56:46
30,0,23,0,deviation,0.01,1,1.06,203,195,0.000547755,0.000274259,0.00165382,0.000830357,0.99192,104.60,15:05,1:58:42
30,0,23,0,deviation,0.001,1,1.06,203,195,0.000547755,0.000274259,0.00165382,0.000830357,0.99192,104.60,14:46,1:56:18

