Window_Size,N_Peaks,Overlap,Hash_Use_First_Appearance,Quantile,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
30,3,0,True,.4,0.000208629,7.08933e-05,0.461499,0.00032904,158.9,00:22
30,3,0,False,.4,0.000208629,7.08933e-05,0.461499,0.00032904,158.9,00:22
30,3,15,True,.4,0.000208629,6.88677e-05,0.479587,0.000297986,322.848,00:23
30,3,15,False,.4,0.000208629,6.88677e-05,0.479587,0.000297986,322.848,00:23
40,5,30,True,.2,0.000206603,7.29188e-05,0.490411,0.000327025,270.248,00:24
40,5,30,False,.2,0.000206603,7.29188e-05,0.490411,0.000327025,270.248,00:24
50,3,38,False,.5,0.000206603,5.87401e-05,0.525432,0.000291547,634.632,00:22
50,3,38,True,.5,0.000206603,5.87401e-05,0.525432,0.000291547,634.632,00:21
40,5,30,True,.3,0.000204578,7.69698e-05,0.521681,0.000305624,509.483,00:24
40,5,30,False,.3,0.000204578,7.69698e-05,0.521681,0.000305624,509.483,00:24
20,3,0,False,1,0.000198501,4.05104e-05,0.227523,0.000291594,1161.68,00:17
20,3,0,True,1,0.000198501,4.05104e-05,0.227523,0.000291594,1161.68,00:18
50,3,0,False,1,0.000198501,4.05104e-05,0.313358,0.000291826,945.113,00:15
50,3,0,True,1,0.000198501,4.05104e-05,0.313358,0.000291826,945.113,00:17
30,3,0,True,1,0.00019445,3.84849e-05,0.262939,0.000290125,1204.35,00:30
30,3,0,False,1,0.00019445,3.84849e-05,0.262939,0.000290125,1204.35,00:22
50,3,13,True,1,0.00019445,3.84849e-05,0.291359,0.000288834,1280.24,00:21
50,3,13,False,1,0.00019445,3.84849e-05,0.291359,0.000288834,1280.24,00:16
40,5,10,True,.5,0.000192425,6.07656e-05,0.519779,0.000281096,511.883,00:25
40,5,10,False,.5,0.000192425,6.07656e-05,0.519779,0.000281096,511.883,00:24
30,3,15,True,.5,0.000192425,6.68422e-05,0.470616,0.000278901,485.145,00:23
30,3,15,False,.5,0.000192425,6.68422e-05,0.470616,0.000278901,485.145,00:23
30,5,0,False,.3,0.000192425,6.27912e-05,0.467746,0.000317328,138.849,00:24
40,3,0,True,1,0.000192425,3.84849e-05,0.305181,0.000288969,1088.23,00:16
40,3,0,False,1,0.000192425,3.84849e-05,0.305181,0.000288969,1088.23,00:17
30,5,0,True,.3,0.000192425,6.27912e-05,0.467746,0.000317328,138.849,00:24
50,3,13,True,.6,0.000190399,6.27912e-05,0.505844,0.000292282,344.621,00:24
50,3,13,False,.6,0.000190399,6.27912e-05,0.505844,0.000292282,344.621,00:23
50,5,13,True,.5,0.000190399,5.46891e-05,0.520456,0.000284766,487.557,00:23
50,5,13,False,.5,0.000190399,5.46891e-05,0.520456,0.000284766,487.557,00:24
30,5,15,False,.3,0.000188374,6.27912e-05,0.481092,0.000289651,255.738,00:23
40,3,30,True,.4,0.000188374,6.27912e-05,0.517349,0.000283043,498.208,00:23
30,5,0,False,.4,0.000188374,6.48167e-05,0.476393,0.000286011,237.276,00:23
30,5,15,True,.3,0.000188374,6.27912e-05,0.481092,0.000289651,255.738,00:23
30,5,0,True,.4,0.000188374,6.48167e-05,0.476393,0.000286011,237.276,00:23
40,3,30,False,.4,0.000188374,6.27912e-05,0.517349,0.000283043,498.208,00:23
30,5,23,True,.2,0.000184322,5.87401e-05,0.48124,0.000285123,261.682,00:23
30,5,23,False,.2,0.000184322,5.87401e-05,0.48124,0.000285123,261.682,00:24
20,3,0,False,.3,0.000184322,6.48167e-05,0.455234,0.000303307,103.269,00:22
20,3,0,True,.3,0.000184322,6.48167e-05,0.455234,0.000303307,103.269,00:22
40,5,0,False,.6,0.000182297,5.87401e-05,0.504792,0.000274818,527.147,00:23
40,5,0,True,.6,0.000182297,5.87401e-05,0.504792,0.000274818,527.147,00:23
30,3,0,False,.5,0.000182297,5.67146e-05,0.464505,0.000283677,237.793,00:23
30,3,0,True,.5,0.000182297,5.67146e-05,0.464505,0.000283677,237.793,00:23
50,3,25,False,.7,0.000180271,5.87401e-05,0.477322,0.000277834,760.788,00:24
50,3,25,True,.7,0.000180271,5.87401e-05,0.477322,0.000277834,760.788,00:23
20,3,0,False,.9,0.000178246,3.24083e-05,0.291138,0.000275921,938.091,00:23
20,3,0,True,.9,0.000178246,3.24083e-05,0.291138,0.000275921,938.091,00:22
40,3,20,False,.6,0.000178246,6.27912e-05,0.503998,0.000276411,575.493,00:23
