Window_Size,N_Peaks,Overlap,Skip_First_K_Freqs,Selection_Method,Significance,Average_F_Score,Average_Precision,Average_Sharpness,avg(Family_Members/Match_Count),Average_Hash_Intersection_Size,Runtime_match-family
30,3,8,1,deviation,0.01,0.00106137,0.000528661,0.247002,0.00107112,8.21552,03:54
30,5,8,0,deviation,0.001,0.00105327,0.000526636,0.246933,0.00105992,9.82216,04:02
30,5,8,0,deviation,0.01,0.00105327,0.000526636,0.246933,0.00105992,9.82216,04:09
30,5,8,1,deviation,0.001,0.00105327,0.000526636,0.246933,0.00105992,9.82216,04:12
30,5,8,1,deviation,0.01,0.00105327,0.000526636,0.246933,0.00105992,9.82216,04:09
30,0,8,0,deviation,0.001,0.00105125,0.000526636,0.247108,0.00105699,10.6168,04:30
30,0,8,0,deviation,0.01,0.00105125,0.000526636,0.247108,0.00105699,10.6168,05:11
30,0,8,1,deviation,0.001,0.00105125,0.000526636,0.247108,0.00105699,10.6168,04:28
30,0,8,1,deviation,0.01,0.00105125,0.000526636,0.247108,0.00105699,10.6168,04:44
30,3,8,2,deviation,0.01,0.000933765,0.000457768,0.243642,0.000919787,8.05631,03:49
30,3,8,2,deviation,0.001,0.000933765,0.000457768,0.243642,0.000919787,8.05631,03:49
30,5,8,2,deviation,0.001,0.000925663,0.000455742,0.243624,0.000908967,9.64634,04:08
30,5,8,2,deviation,0.01,0.000925663,0.000455742,0.243624,0.000908967,9.64634,04:09
30,0,8,2,deviation,0.001,0.000923638,0.000455742,0.243802,0.000906128,10.4327,04:37
30,0,8,2,deviation,0.01,0.000923638,0.000455742,0.243802,0.000906128,10.4327,04:38
30,3,8,3,deviation,0.001,0.000826413,0.000384849,0.255096,0.000955971,6.92769,03:21
30,3,8,3,deviation,0.01,0.000826413,0.000384849,0.255096,0.000955971,6.92769,03:21
30,5,8,3,deviation,0.001,0.000818311,0.000378773,0.255888,0.000943692,8.21977,03:28
30,5,8,3,deviation,0.01,0.000818311,0.000378773,0.255888,0.000943692,8.21977,03:22
30,0,8,3,deviation,0.01,0.000816285,0.000378773,0.256589,0.000940625,8.8572,03:58
30,0,8,3,deviation,0.001,0.000816285,0.000378773,0.256589,0.000940625,8.8572,03:53
40,3,20,3,deviation,0.01,0.000712984,0.000299777,0.331337,0.00078478,14.4454,05:41
40,3,20,3,deviation,0.001,0.000712984,0.000299777,0.331337,0.00078478,14.4454,05:43
40,3,20,0,deviation,0.001,0.000702856,0.000293701,0.354999,0.000733814,17.4766,07:57
40,3,20,0,deviation,0.01,0.000702856,0.000293701,0.354999,0.000733814,17.4766,08:20
40,3,20,1,deviation,0.01,0.000702856,0.000293701,0.354999,0.000733814,17.4766,08:32
40,3,20,1,deviation,0.001,0.000702856,0.000293701,0.354999,0.000733814,17.4766,08:03
40,0,20,3,deviation,0.01,0.000696779,0.00028965,0.332425,0.000773263,14.6307,05:43
40,0,20,3,deviation,0.001,0.000696779,0.00028965,0.332425,0.000773263,14.6307,05:50
40,5,20,3,deviation,0.001,0.000696779,0.00028965,0.332418,0.000773746,14.6279,06:03
40,5,20,3,deviation,0.01,0.000696779,0.00028965,0.332418,0.000773746,14.6279,06:24
40,0,20,1,deviation,0.01,0.000686652,0.000285599,0.356006,0.000725433,17.667,08:31
40,0,20,1,deviation,0.001,0.000686652,0.000285599,0.356006,0.000725433,17.667,07:54
40,0,20,0,deviation,0.001,0.000686652,0.000285599,0.356006,0.000725433,17.667,08:27
40,0,20,0,deviation,0.01,0.000686652,0.000285599,0.356006,0.000725433,17.667,08:29
40,5,20,0,deviation,0.01,0.000686652,0.000285599,0.356006,0.000725601,17.6642,08:49
40,5,20,0,deviation,0.001,0.000686652,0.000285599,0.356006,0.000725601,17.6642,08:51
40,5,20,1,deviation,0.01,0.000686652,0.000285599,0.356006,0.000725601,17.6642,08:42
40,5,20,1,deviation,0.001,0.000686652,0.000285599,0.356006,0.000725601,17.6642,08:33
40,3,20,2,deviation,0.01,0.000644116,0.000267369,0.353535,0.000683232,17.1855,07:54
40,3,20,2,deviation,0.001,0.000644116,0.000267369,0.353535,0.000683232,17.1855,07:47
40,0,20,2,deviation,0.01,0.000627912,0.000259267,0.354541,0.000674968,17.3753,08:23
40,0,20,2,deviation,0.001,0.000627912,0.000259267,0.354541,0.000674968,17.3753,07:51
40,5,20,2,deviation,0.01,0.000627912,0.000259267,0.354541,0.000675135,17.3725,08:25
40,5,20,2,deviation,0.001,0.000627912,0.000259267,0.354541,0.000675135,17.3725,08:39
30,3,15,3,deviation,0.001,0.000496253,0.000206603,0.325234,0.000610429,10.4839,05:25
30,3,15,3,deviation,0.01,0.000496253,0.000206603,0.325234,0.000610429,10.4839,05:23
30,5,15,3,deviation,0.01,0.000496253,0.000206603,0.325283,0.000609728,10.5232,05:22
30,5,15,3,deviation,0.001,0.000496253,0.000206603,0.325283,0.000609728,10.5232,05:12
30,0,15,3,deviation,0.01,0.000496253,0.000206603,0.325283,0.000609726,10.5232,05:17
30,0,15,3,deviation,0.001,0.000496253,0.000206603,0.325283,0.000609726,10.5232,05:11
30,3,15,0,deviation,0.001,0.000437513,0.000168118,0.338876,0.000518839,12.1722,06:52
30,3,15,0,deviation,0.01,0.000437513,0.000168118,0.338876,0.000518839,12.1722,06:53
30,5,15,0,deviation,0.001,0.000437513,0.000168118,0.338939,0.000518306,12.2113,06:27
30,5,15,0,deviation,0.01,0.000437513,0.000168118,0.338939,0.000518306,12.2113,06:47
30,0,15,1,deviation,0.01,0.000437513,0.000168118,0.338939,0.000518305,12.2113,06:39
30,0,15,1,deviation,0.001,0.000437513,0.000168118,0.338939,0.000518305,12.2113,06:30
